Latitude,Longitude,MAT,MAP,LC_IGBP,FLUXCOM_GPP,FLUXCOM_GPP_filter
63.25,75.75,-4.32,515.42,9,1.0206,1.0206
-86.25,-176.75,-44.44,70.46,15,NaN,NaN
-86.25,176.75,-45.54,68.5,15,NaN,NaN
17.25,103.75,26.17,1610.3,10,3.528,3.528
-18.25,-55.75,26.01,1278.6,9,3.4776,3.4776
18.25,55.75,26.88,63.17,16,NaN,NaN
70.25,125.25,-13.49,321.47,7,0.58135,0.58135
-70.25,125.25,-38.13,579.88,15,NaN,NaN
-74.75,-11.75,-27.37,443.97,15,NaN,NaN
-74.75,11.75,-32.44,347.66,15,NaN,NaN
28.75,21.25,22.35,29.7,16,NaN,NaN
-28.75,21.25,19.79,177.5,7,0.5907,0.5907
50.75,-65.25,-0.19,1010.9,1,2.0273,2.0273
50.75,65.25,4.1,205.79,10,0.69103,0.69103
-16.75,141.75,27.19,943.68,10,1.9471,1.9471
12.25,-83.75,26.96,3968.8,8,6.5819,6.5819
-38.25,-63.25,14.76,649.48,10,1.3496,1.3496
38.25,63.25,16.87,157.16,16,0.27969,NaN
41.25,-110.75,3.74,296.83,10,0.88684,0.88684
41.25,110.75,1.51,334.69,10,0.64912,0.64912
56.75,-68.25,-5.18,559.03,9,0.9961,0.9961
56.75,68.25,1.23,434.24,4,1.7812,1.7812
66.75,-126.75,-8.11,277.25,9,0.67598,0.67598
66.75,126.75,-16.62,304.56,7,0.55461,0.55461
-66.75,126.75,-14.11,618.63,15,NaN,NaN
-89.25,-74.75,-48.13,8.56,15,NaN,NaN
-89.25,74.75,-49.73,7.49,15,NaN,NaN
40.75,50.75,14.28,266.91,17,NaN,NaN
56.25,-69.75,-5.85,573.04,9,0.65116,0.65116
56.25,69.75,1,397.88,12,1.7851,1.7851
37.75,42.25,13.07,746.03,10,1.2282,1.2282
25.25,81.75,25.96,871.23,12,2.644,2.644
40.75,-104.75,8.77,362.23,10,0.84167,0.84167
40.75,104.75,7.79,109.33,16,NaN,NaN
-31.75,140.25,18.62,201.3,7,0.4229,0.4229
-72.75,24.75,-33.73,332.78,15,NaN,NaN
70.25,-79.75,-13.11,234.02,17,0.22727,NaN
70.25,79.75,-10.73,366.16,7,0.39199,0.39199
-70.25,79.75,-23.18,179.03,15,NaN,NaN
-79.25,-143.75,-24.62,287.96,15,NaN,NaN
-24.25,137.25,24.18,255.93,7,-0.050452,-0.050452
-79.25,143.75,-34.18,157.22,15,NaN,NaN
49.75,60.75,4.15,183.67,10,0.64384,0.64384
-86.25,-27.75,-42.3,52.33,15,NaN,NaN
-86.25,27.75,-49.32,16.06,15,NaN,NaN
44.75,2.25,10.69,1024.8,9,3.6449,3.6449
57.75,-103.25,-3.69,509.88,8,1.1818,1.1818
10.25,32.25,27.65,643.39,12,2.7247,2.7247
-11.75,-46.75,25.55,1586.4,9,3.6033,3.6033
34.75,-118.75,13.03,313.78,10,1.8953,1.8953
34.75,118.75,14.26,888.2,12,2.5922,2.5922
64.25,-70.25,-9.12,400.34,10,0.22969,0.22969
64.25,70.25,-4.65,503.44,9,1.1717,1.1717
4.25,-65.25,16.05,3374.1,2,6.4855,6.4855
-4.25,-65.25,27.03,2581.8,2,6.6749,6.6749
66.25,14.25,0.68,1247.3,10,0.86739,0.86739
-26.75,137.75,22.71,155.59,16,0.47078,NaN
-15.25,-71.25,1.87,686.68,10,0.76507,0.76507
-33.25,23.25,15.69,297.3,10,0.55388,0.55388
44.75,-82.25,6.3,849.43,17,NaN,NaN
44.75,82.25,8.8,176.72,12,1.4849,1.4849
-79.25,152.25,-31.72,205.66,15,NaN,NaN
-85.25,-102.25,-37.09,30.3,15,NaN,NaN
-85.25,102.25,-51.51,21.59,15,NaN,NaN
-77.25,-6.25,-32.08,388.61,15,NaN,NaN
-77.25,6.25,-33.14,274.26,15,NaN,NaN
77.75,-34.25,-25.52,155,15,NaN,NaN
-77.75,-34.25,-17.45,398.26,15,NaN,NaN
-77.75,34.25,-54.76,58.98,15,NaN,NaN
68.75,-151.25,-10.29,170,7,0.52333,0.52333
