"value","units","time","era","variable","model","experiment","ensemble","grid","year","month"
0.213455199557134,NA,18560615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","06"
0.22207059487587,NA,18560715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","07"
0.227233174534048,NA,18560815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","08"
0.264539703026098,NA,18560915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","09"
0.372812233675666,NA,18561015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","10"
0.513353332273261,NA,18561115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","11"
0.577388094745698,NA,18561215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1856","12"
0.45266285585529,NA,18570115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","01"
0.27834436901809,NA,18570214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","02"
0.333935492465151,NA,18570315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","03"
0.506035356175206,NA,18570415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","04"
0.331744490115439,NA,18570515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","05"
0.224485423650478,NA,18570615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","06"
0.218178137769268,NA,18570715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","07"
0.218159777414029,NA,18570815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","08"
0.259378285373876,NA,18570915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","09"
0.326649120371775,NA,18571015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","10"
0.517568120132769,NA,18571115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","11"
0.5751833806386,NA,18571215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1857","12"
0.381484477730863,NA,18580115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","01"
0.27626313074088,NA,18580214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","02"
0.295265804422559,NA,18580315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","03"
0.477677149307284,NA,18580415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","04"
0.324087463312374,NA,18580515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","05"
0.208371432936797,NA,18580615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","06"
0.209670303170493,NA,18580715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","07"
0.229725563434501,NA,18580815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","08"
0.269179196477979,NA,18580915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","09"
0.358277653273529,NA,18581015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","10"
0.606664263559278,NA,18581115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","11"
0.651034987165705,NA,18581215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1858","12"
0.449791255723593,NA,18590115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","01"
0.338166350562918,NA,18590214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","02"
0.399631123735378,NA,18590315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","03"
0.500329537188949,NA,18590415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","04"
0.340512353518324,NA,18590515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","05"
0.212051753484514,NA,18590615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","06"
0.217150479961893,NA,18590715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","07"
0.238644646664863,NA,18590815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","08"
0.264853940739816,NA,18590915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","09"
0.361674375542202,NA,18591015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","10"
0.56231519474072,NA,18591115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","11"
0.544761507667482,NA,18591215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1859","12"
0.413450420315597,NA,18600115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","01"
0.30125732986959,NA,18600214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","02"
0.346155951398278,NA,18600315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","03"
0.453767247760565,NA,18600415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","04"
0.360423818830787,NA,18600515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","05"
0.226776076732431,NA,18600615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","06"
0.22093972182649,NA,18600715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","07"
0.227916878828423,NA,18600815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","08"
0.249348821999059,NA,18600915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","09"
0.345365507379553,NA,18601015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","10"
0.605769332999368,NA,18601115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","11"
0.697985349184958,NA,18601215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1860","12"
0.43279403798237,NA,18610115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","01"
0.296404683333281,NA,18610214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","02"
0.378580607239298,NA,18610315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","03"
0.428506893544269,NA,18610415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","04"
0.371505535884805,NA,18610515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","05"
0.23861699347122,NA,18610615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","06"
0.218223346148025,NA,18610715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","07"
0.229671687260338,NA,18610815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","08"
0.255524405505782,NA,18610915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","09"
0.348005049802534,NA,18611015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","10"
0.555894087556813,NA,18611115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","11"
0.562287612856936,NA,18611215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1861","12"
0.42727763002988,NA,18620115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","01"
0.307053515235853,NA,18620214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","02"
0.326626844670808,NA,18620315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","03"
0.453150871254071,NA,18620415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","04"
0.38585647919671,NA,18620515.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","05"
0.223829077874829,NA,18620615,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","06"
0.222930738545903,NA,18620715.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","07"
0.231710462663595,NA,18620815.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","08"
0.262568754525771,NA,18620915,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","09"
0.356240163188463,NA,18621015.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","10"
0.521226534664478,NA,18621115,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","11"
0.64631017127136,NA,18621215.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1862","12"
0.36717070412854,NA,18630115.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","01"
0.255052223972446,NA,18630214,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","02"
0.3143522083806,NA,18630315.5,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","03"
0.473451076480081,NA,18630415,"cmip6","ratio","CESM2","historical","r10i1p1f1","gn","1863","04"
